,Fullname,Organ,Genotype,Status
SpleenLN.TIR1.Resting.rep_1,SpleenLN.TIR1.Resting,SpleenLN,TIR1,Resting
SpleenLN.WT.Resting.rep_3,SpleenLN.WT.Resting,SpleenLN,WT,Resting
SpleenLN.WT.Activated.rep_1,SpleenLN.WT.Activated,SpleenLN,WT,Activated
SpleenLN.WT.Activated.rep_3,SpleenLN.WT.Activated,SpleenLN,WT,Activated
Thymus.TIR1.Developing.rep_1,Thymus.TIR1.Developing,Thymus,TIR1,Developing
Thymus.WT.Developing.rep_1,Thymus.WT.Developing,Thymus,WT,Developing
SpleenLN.WT.Resting.rep_2,SpleenLN.WT.Resting,SpleenLN,WT,Resting
SpleenLN.WT.Activated.rep_2,SpleenLN.WT.Activated,SpleenLN,WT,Activated
SpleenLN.TIR1.Resting.rep_3,SpleenLN.TIR1.Resting,SpleenLN,TIR1,Resting
SpleenLN.TIR1.Activated.rep_1,SpleenLN.TIR1.Activated,SpleenLN,TIR1,Activated
Thymus.TIR1.Developing.rep_3,Thymus.TIR1.Developing,Thymus,TIR1,Developing
Thymus.WT.Developing.rep_3,Thymus.WT.Developing,Thymus,WT,Developing
SpleenLN.TIR1.Activated.rep_2,SpleenLN.TIR1.Activated,SpleenLN,TIR1,Activated
SpleenLN.TIR1.Activated.rep_3,SpleenLN.TIR1.Activated,SpleenLN,TIR1,Activated
Thymus.TIR1.Developing.rep_2,Thymus.TIR1.Developing,Thymus,TIR1,Developing
Thymus.WT.Developing.rep_2,Thymus.WT.Developing,Thymus,WT,Developing
SpleenLN.WT.Resting.rep_1,SpleenLN.WT.Resting,SpleenLN,WT,Resting
